"GlobalId","IFC Class","Area"
"1WGjrgJ_nAQvpXKUOvOOBl","Bed3","16.56525230407715"
"1zPEruMkDCaRrhpnmIla7q","Bed3 Dress","4.982860565185547"
"2FIjCn0v140hCEgWGjqcc9","Bed3 Toilet","4.419974088668823"
"2d8BKcw$13GgFhI08XA$TR","Bed3 Transition","6.2618736028671265"
"1p88K7DJrF6h6hNQkxwIsP","Bed4","18.002018928527832"
"0fs7y9WunC3h0WUHzj7Jcr","Bed4 Balcony","8.695855140686035"
"3WcNCO8jjDcwfVRKE7VB4L","Bed4 Dress","4.956171989440918"
"2OWUV8rRf7ffxMgCHpdNpZ","Bed4 Toilet","4.697145938873291"
"10s$1GMirFI8646NlN_9ID","Bed4 Transition","3.2297250032424927"
"3daV3n_ar9iACD3OFCcXJv","FF Stair","12.292045593261719"
"0i3qYFCKn5TvBIMF_xUrxj","Hometheatre","18.124491691589355"
"0DqKsHBcXDYwjfvJZ0J65T","Living","20.463568687438965"
"0GNu5EDvbBihbV6m3gsn4W","Study Space","21.427715301513672"
