"GlobalId","IFC Class","Area"
"24CpJsCRb7ggAFPD9AcgDZ","Bed1","16.565284729003906"
"0EVGgI56HD_RXVjyTE$a9O","Bed1 Dress","4.982858657836914"
"3yFdYDc059$90gXOdQwkLI","Bed1 Toilet","4.679990768432617"
"2_TprEzDj938DCtzO0oxQn","Bed1 transition","6.261864602565765"
"0qGMZyqC1Dig7YHxms58G7","Bed2","12.710909366607666"
"3G3bu4Smz5dw8DSDCAHt_y","Bed2 Dressing ","3.1519991159439087"
"3vmu2hjOP0HOM894b1vZsb","Bed2 Toilet","4.155003070831299"
"1tW8F9Wv94RB3YrUsU8Fz6","Bed2 Transition","1.2799860835075378"
"17jEn2ZTz9_xxsAB3bpmSC","Common Wash Basin","3.1725034713745117"
"2pQ3B4bQv1husnnqPDynIx","Common Wash Toilet","2.805550217628479"
"0x8eYLbHH4COqW4P1Pr0c_","Dining","19.9436092376709"
"3ufUD5Fwn85AyyOdFeRFrH","Dumping/Electrical Room","2.399998426437378"
"0mKFmB9IT6xh2lu5PpgUHv","Entrance Foyer","5.571253061294556"
"3d_bSipRfCqelWZcTyqGeV","Family Living","16.41872787475586"
"2I4HlT3Qn48h1_B9oCy71h","Formal Living","19.53961181640625"
"2ZoSIoFmj0fhH3Ava$eV$k","Kitchen","7.507529020309448"
"0$Ka_GGPf3fQRqSsEjoaCk","Laundry","3.6001216173171997"
"1yhyQCFE56yeOkjhPK20rL","Living/Dining Transition","14.224500000476837"
"2d1DYSK5b7zP3J2PIF7hNC","Pantry","10.519957065582275"
"3RIi_MJSr2FvaPwUXFaHVD","Prayer","10.538601875305176"
"39LkYCZHb3881y1QNhSabt","Prayer Ablution","1.5991607904434204"
"0NulQgQhL2kv6lb6PbL286","Sitout","19.563913643360138"
"2FPzWE3dn8RvN1mjLduZRL","Staircase","6.520002365112305"
"3cpVn0RuP6vglvW9LzwPXp","Store","3.7886171340942383"
"2WUh6HNGj7xO_ToOLi$mmL","Verandah Bed1","3.7427114248275757"
"0Im0bOiEn3AO70ZLN9kbJK","Verandah Dining","14.443830966949463"
"0twoLVEX9C3hXMYoek_oVC","Verandah Living","9.550416469573975"
"3lE$VNYd9BpPwKcXXLvwHe","Work Area","10.521697521209717"
